sep=,
Bridge name,Condition,Length (m),Width (m),Findings on concrete,Google maps url,Beheerder contact,Beheerder Vlaamse overheid,Tags
Zwijnaardekanaalbrug 15 In E40 over Scheldekanaal,toestand 4: slecht,118,51,106,"https://www.google.com/maps/@51.0089151441,3.733832985,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Zultebrug,toestand 4: slecht,117,14,68,"https://www.google.com/maps/@50.929382607,3.4378013875,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
John Kennedybrug in Kennedylaan over Moervaart,toestand 4: slecht,114.54,33.4,111,"https://www.google.com/maps/@51.1364474756,3.7921676997,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Brug 3 Mol Rauw Simonse Brug,toestand 4: slecht,110.76,24.7,103,"https://www.google.com/maps/@51.2055172271,5.158661935,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Scheldebrug O12 in R4,toestand 4: slecht,110.5,37.48,188,"https://www.google.com/maps/@51.0130441897,3.7939415763,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Ooiebrug,toestand 4: slecht,110,26.8,75,"https://www.google.com/maps/@51.0312532427,4.0768051543,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Buchtenbrug Ringvaartbrug W6,toestand 4: slecht,106,10.14,48,"https://www.google.com/maps/@51.0339871099,3.6872588486,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug 37F,toestand 4: slecht,101.42,21.1,48,"https://www.google.com/maps/@51.0398947909,4.4441221808,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Zwaantjesbrug,toestand 4: slecht,101.2,14,62,"https://www.google.com/maps/@50.9069807127,3.3255753279,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Wegbrug Kleine Ring,toestand 4: slecht,101.04,14.96,9,"https://www.google.com/maps/@50.8390877367,3.6035178586,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug over afleidingskanaal Leie in Balgerhoeke,toestand 4: slecht,101,14.9,96,"https://www.google.com/maps/@51.2014016965,3.5168816378,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Brug 7 Olmen Dorp,toestand 4: slecht,100,13,152,"https://www.google.com/maps/@51.1386386057,5.1437555137,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Brug 2 Stevensvennen,toestand 4: slecht,100,24.16,61,"https://www.google.com/maps/@51.2249815922,5.2326734908,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Limburg,""
Wiezebrug Aalst,toestand 4: slecht,100,18.9,42,"https://www.google.com/maps/@50.9816873824,4.0662335598,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Heerweg-Noord Zwijnaarde,toestand 4: slecht,100,15.2,33,"https://www.google.com/maps/@51.0138309483,3.7203709136,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug aan La Flandre over sluis Zwevegem,toestand 4: slecht,99,14.6,17,"https://www.google.com/maps/@50.8163792608,3.3525889712,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug O36 1,toestand 4: slecht,95,32,81,"https://www.google.com/maps/@51.0408503044,4.4533345543,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Brug over Vaart Duinkerke-Veurne,toestand 4: slecht,94.6,20.5,72,"https://www.google.com/maps/@51.0707697498,2.6556653854,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
Brug B37A,toestand 4: slecht,94.32,32.5,73,"https://www.google.com/maps/@51.042972826,4.4517699425,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Vaste Wegbrug Schendelbeke,toestand 4: slecht,92,14.8,14,"https://www.google.com/maps/@50.7933556448,3.9011974783,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Zwijnaardekasteelbrug / Wegbrug W19 Scheldekanaal,toestand 4: slecht,90.4,18.7,23,"https://www.google.com/maps/@51.001806756,3.7243125777,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Speybrug Wegbrug W2,toestand 4: slecht,89.2,9.26,31,"https://www.google.com/maps/@51.0854095517,3.6589073166,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Emblembrug Netekanaal,toestand 4: slecht,75,13.4,58,"https://www.google.com/maps/@51.1596869774,4.6070178707,250m",De Vlaamse Waterweg - regio Centraal: Arn Bormans,De Vlaamse Waterweg nv - Afdeling Regio Centraal,""
Brug O25 over Lovaart,toestand 4: slecht,69.54,28.4,101,"https://www.google.com/maps/@51.0582809655,2.6755830835,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
Baanbrug Duffel over Nete,toestand 4: slecht,61.5,12.5,,"https://www.google.com/maps/@51.0941841259,4.5072181453,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Brug O18 over Kleine Nete in E313 (ex E39),toestand 4: slecht,51.32,32,64,"https://www.google.com/maps/@51.1793224046,4.7202651137,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Viaduct Wold16 in A2,toestand 3: matig,983,33.287,41,"https://www.google.com/maps/@50.903166472,4.7058962207,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Vlaams-Brabant,""
Viaduct Merksem Prefabdelen Schijnpoort Verbinding,toestand 3: matig,583,40.5,,"https://www.google.com/maps/@51.2320135668,4.438050293,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Viaduct Diestse Vest(RLVD) in R23  (Lüdenscheidsingel),toestand 3: matig,520,23.6,26,"https://www.google.com/maps/@50.8877030407,4.7064245329,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Vlaams-Brabant,""
Brug 6bis over gepland Kanaal Oelegem Zandvliet,toestand 3: matig,266.5,43.75,111,"https://www.google.com/maps/@51.2087564313,4.6153255714,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Vlassenbroekbrug,toestand 3: matig,252.6,31,,"https://www.google.com/maps/@51.0408701316,4.1236124397,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Toegangsviaduct naar Hefbrug,toestand 3: matig,243.32,21,148,"https://www.google.com/maps/@50.92542163406869,4.420140385901403,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Vlaams-Brabant,""
Dendermondebrug Scheldebrug N47 Dendermonde,toestand 3: matig,230,25.4,171,"https://www.google.com/maps/@51.0351792405,4.106491485,250m",De Vlaamse Waterweg - regio Centraal: Arn Bormans,De Vlaamse Waterweg nv - Afdeling Regio Centraal,""
Brug Lanaken over Kanaal Briegden-Neerharen,toestand 3: matig,179,16,44,"https://www.google.com/maps/@50.8892298533,5.6621279252,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Limburg,""
Brug Gellik Kompveld,toestand 3: matig,172,12.7,33,"https://www.google.com/maps/@50.8781301765,5.6093270407,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Spoorwegbrug (S3) over de Ringvaart,toestand 3: matig,164.6,10.5,26,"https://www.google.com/maps/@51.0065309823,3.7766100749,250m",De Vlaamse Waterweg - regio Centraal: Arn Bormans,De Vlaamse Waterweg nv - Afdeling Regio Centraal,""
Stasegembrug 11 in R8 over Kanaal Bossuit-Kortrijk,toestand 3: matig,157.3,30.4,278,"https://www.google.com/maps/@50.8290904718,3.2939428579,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
Brug over vertakking Albertkanaal-Hasselt,toestand 3: matig,154,30.72,65,"https://www.google.com/maps/@50.9419539407,5.3347168128,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Limburg,""
Brug 3de Jagers te voet in Zingem Scheldebrug,toestand 3: matig,154,20.4,14,"https://www.google.com/maps/@50.8933020707,3.6798746593,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Ohiobrug,toestand 3: matig,153.6,20.1,8,"https://www.google.com/maps/@50.8705026398,3.6279687912,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
IJzerbrug O14,toestand 3: matig,152,40.4,36,"https://www.google.com/maps/@51.1289853089,2.8003754864,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
Brug in Berchem,toestand 3: matig,150.91,22.2,29,"https://www.google.com/maps/@50.7939909632,3.5048044872,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Leiebrug Kortrijk in R8,toestand 3: matig,148.77,29.4,160,"https://www.google.com/maps/@50.8161615185,3.2319081934,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
Ringvaartbrug DIRV,toestand 3: matig,147,27.1,29,"https://www.google.com/maps/@51.0323817734,3.6957361452,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Bellembrug,toestand 3: matig,144,17.6,10,"https://www.google.com/maps/@51.0982055852,3.494775757,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Durmenbrug,toestand 3: matig,141.6,17.6,74,"https://www.google.com/maps/@51.0947431395,3.5733560426,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug O36 3,toestand 3: matig,138,19.38,73,"https://www.google.com/maps/@51.0417317988,4.4525376832,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Bierstalbrug,toestand 3: matig,130.76,18.6,94,"https://www.google.com/maps/@51.09211240451555,3.6374758916918193,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Lovendegembrug,toestand 3: matig,130.76,18.8,56,"https://www.google.com/maps/@51.0909700913,3.6036388632,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Louisabrug Beernembrug,toestand 3: matig,127.1,17.6,12,"https://www.google.com/maps/@51.139356386,3.3291342746,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Zeltebrug (Nieuwe Pelikaanbrug),toestand 3: matig,126.34,26.8,72,"https://www.google.com/maps/@51.1205550777,2.7460721312,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
Nevelebrug in omgelegde N437,toestand 3: matig,126,20,32,"https://www.google.com/maps/@51.0357059248,3.553086082,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Merendreebrug,toestand 3: matig,124,20.8,79,"https://www.google.com/maps/@51.0735118998,3.5696072888,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Schaapsbrug,toestand 3: matig,124,13.2,50,"https://www.google.com/maps/@50.9413451611,3.1615693789,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug in de Koestraat over De Leie Balokkenbrug,toestand 3: matig,124,13.2,26,"https://www.google.com/maps/@50.773890253,3.0241939758,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug O2,toestand 3: matig,121,64,131,"https://www.google.com/maps/@51.2358440219,5.4085554422,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Limburg,""
Brug van Mylle   Kanaal Brugge-Oostende,toestand 3: matig,121,37.75,112,"https://www.google.com/maps/@51.2173429809,3.1886530361,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
