sep=,
Bridge name,Condition,Length (m),Width (m),Findings on concrete,Google maps url,Beheerder contact,Beheerder Vlaamse overheid,Tags
Brug O33,toestand 3: matig,100.88,81.75,245,"https://www.google.com/maps/@51.0359087626,4.4499467103,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Hogebrug in Sint-Eloois Vijve,toestand 3: matig,100.4,15,57,"https://www.google.com/maps/@50.9089882502,3.4037521001,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug Sint-Huibrechts Lille I,toestand 3: matig,100,13,133,"https://www.google.com/maps/@51.2147190555,5.5246630816,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Brug Lommel II,toestand 3: matig,100,13,129,"https://www.google.com/maps/@51.2481676071486,5.33614376241216,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Brug Herentals Gerheze,toestand 3: matig,100,13,98,"https://www.google.com/maps/@51.1802862368,4.8669298019,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Brug Dilsen aan Europalaan,toestand 3: matig,100,13,90,"https://www.google.com/maps/@51.0386819125,5.7046183745,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Limburg,""
Brug 8 Olmen Gervoort,toestand 3: matig,100,13,73,"https://www.google.com/maps/@51.1284328094,5.1414860701,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Brug Neerpelt II,toestand 3: matig,100,13,69,"https://www.google.com/maps/@51.23429059217423,5.428724289414193,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Brug Neerharen,toestand 3: matig,100,13,48,"https://www.google.com/maps/@50.9099763911,5.6931321468,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Brug Olen Sint-Jozef,toestand 3: matig,100,7.8,45,"https://www.google.com/maps/@51.1868972601,4.9029301159,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Brug 5 Balen Neet,toestand 3: matig,100,13.36,35,"https://www.google.com/maps/@51.1729082404,5.1514460984,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Brug 15 Ingang Kanaal,toestand 3: matig,100,14,35,"https://www.google.com/maps/@51.2392674314,4.500706536,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Brug 9 Kwaadmechelen Gerhoeven,toestand 3: matig,100,13,21,"https://www.google.com/maps/@51.1088642888,5.1372067841,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
E17 Durmebrug O19,toestand 3: matig,97.89,40,124,"https://www.google.com/maps/@51.094934595,4.034026411,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
St.-Martinusbrug over de Leie bochtafsnijding,toestand 3: matig,88,33.4,94,"https://www.google.com/maps/@50.9784415541,3.5249607028,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Nieuwescheldebrug /wegbrug W11 langs de Ringvaart,toestand 3: matig,86,33,39,"https://www.google.com/maps/@51.0120516381,3.7387067566,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Brug over KRL Izegem,toestand 3: matig,86,23,34,"https://www.google.com/maps/@50.9227584771,3.2158571991,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug 17 Kanaal Dessel Schoten,toestand 3: matig,84,41,154,"https://www.google.com/maps/@51.3004685212,5.1419069902,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Knokkebrug,toestand 3: matig,82.6,18.5,30,"https://www.google.com/maps/@50.79854641628463,3.3661998930896297,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Aalterbrug (oud Gedeelte) rijrichting Aalter Maldegem,toestand 3: matig,75.6,16.6,19,"https://www.google.com/maps/@51.107105511,3.4349640149,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Brug Obis,toestand 3: matig,74.28,10.8,49,"https://www.google.com/maps/@51.241196413,5.162346034,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Winketbrug over Dijle,toestand 3: matig,70,23.8,16,"https://www.google.com/maps/@51.030124852883034,4.47138764059118,250m",De Vlaamse Waterweg - regio Centraal: Arn Bormans,De Vlaamse Waterweg nv - Afdeling Regio Centraal,""
Kalsijdebrug Snaaskerkebrug,toestand 3: matig,68.3,15,116,"https://www.google.com/maps/@51.1743856319,2.9133092083,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
Brug over Lovaart,toestand 3: matig,67.17,18,96,"https://www.google.com/maps/@51.06081370100864,2.6726906196741274,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
Brug Deerlijkstraat Sluis Zwevegem,toestand 3: matig,67.08,15,35,"https://www.google.com/maps/@50.8236078749,3.3443566631,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Kuurnebrug,toestand 3: matig,64.2,14.6,18,"https://www.google.com/maps/@50.8506081018,3.3002254557,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Voet- en fietsbrug,toestand 3: matig,64,3.2,15,"https://www.google.com/maps/@50.84679014712197,3.614209476220025,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Sint Lievenspoortbrug Sint Lievensbrug,toestand 3: matig,58,42.2,72,"https://www.google.com/maps/@51.0382631359,3.736757464,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Koning Albertbrug,toestand 3: matig,55.65,26,54,"https://www.google.com/maps/@51.0429044804,3.7109851786,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Uniebrug,toestand 3: matig,51,14.3,129,"https://www.google.com/maps/@51.126979833547,2.8018490989347,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Schoorbakkebrug,toestand 3: matig,51,11.3,79,"https://www.google.com/maps/@51.0991199205,2.8223103164,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Wulpenbrug,toestand 3: matig,51,26.2,77,"https://www.google.com/maps/@51.10269311705774,2.691438033455751,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
Jozef Guislainbrug,toestand 3: matig,50.69,18,9,"https://www.google.com/maps/@51.0660766417,3.6994034624,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Heffenbrug,toestand 3: matig,50,13.5,33,"https://www.google.com/maps/@51.0454801341,4.422057324,250m",De Vlaamse Waterweg - regio Centraal: Arn Bormans,De Vlaamse Waterweg nv - Afdeling Regio Centraal,""
Brug voor plaatselijk verkeer Socolbrug,toestand 3: matig,47,7.7,7,"https://www.google.com/maps/@50.9136761544,3.428655899,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Voetbrug aan Tijsluis,toestand 3: matig,,,25,"https://www.google.com/maps/@51.0433595553,4.0833603013,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
